,Name,Year,Selling_price,Present_price,Km_driven,Fuel_type,Seller_type,Transmission,Owner_type
0,Maruti 800,2007,60000,90050.0,70000,Petrol,Individual,Manual,1
1,Maruti Wagon,2007,135000,2202550.0,50000,Petrol,Individual,Manual,1
3,Hyundai Verna,2012,600000,959950.0,100000,Diesel,Individual,Manual,1
4,Datsun RediGO,2017,250000,575050.0,46000,Petrol,Individual,Manual,1
5,Honda Amaze,2014,450000,675050.0,141000,Diesel,Individual,Manual,2
6,Maruti Alto,2007,140000,130050.0,125000,Petrol,Individual,Manual,1
7,Tata Indigo,2014,240000,360000.0,60000,Petrol,Individual,Manual,2
8,Hyundai Creta,2015,850000,1275000.0,25000,Petrol,Individual,Manual,1
9,Maruti Celerio,2017,365000,547500.0,78000,CNG,Individual,Manual,1
10,Chevrolet Sail,2015,260000,399000.0,35000,Petrol,Individual,Manual,1
11,Tata Indigo,2014,250000,376670.0,100000,Petrol,Individual,Manual,1
12,Toyota Corolla,2018,1650000,2476099.0,25000,Petrol,Dealer,Automatic,1
13,Maruti 800,2007,60000,91990.0,70000,Petrol,Individual,Manual,1
14,Maruti Wagon,2007,135000,203500.0,50000,Petrol,Individual,Manual,1
15,Hyundai Verna,2012,600000,901000.0,100000,Diesel,Individual,Manual,1
16,Datsun RediGO,2017,250000,376000.0,46000,Petrol,Individual,Manual,1
17,Honda Amaze,2014,450000,676000.0,141000,Diesel,Individual,Manual,2
18,Maruti Alto,2007,140000,210000.0,125000,Petrol,Individual,Manual,1
19,Hyundai Xcent,2016,550000,825000.0,25000,Petrol,Individual,Manual,1
20,Tata Indigo,2014,240000,360000.0,60000,Petrol,Individual,Manual,2
21,Hyundai Creta,2015,850000,1275000.0,25000,Petrol,Individual,Manual,1
22,Maruti Celerio,2017,365000,547500.0,78000,CNG,Individual,Manual,1
23,Chevrolet Sail,2015,260000,390000.0,35000,Petrol,Individual,Manual,1
24,Tata Indigo,2014,250000,375000.0,100000,Petrol,Individual,Manual,1
25,Toyota Corolla,2018,1650000,2475000.0,25000,Petrol,Dealer,Automatic,1
26,Maruti Ciaz,2015,585000,877500.0,24000,Petrol,Dealer,Manual,1
27,Hyundai Venue,2019,1195000,1792500.0,5000,Diesel,Dealer,Manual,1
28,Chevrolet Enjoy,2013,390000,985000.0,33000,Diesel,Individual,Manual,2
29,Jaguar XF,2014,1964999,3347498.5,28000,Diesel,Dealer,Automatic,1
30,Mercedes-Benz New,2013,1425000,2537500.0,59000,Diesel,Dealer,Automatic,1
31,Maruti Vitara,2018,975000,1862500.0,4500,Diesel,Dealer,Automatic,1
32,Audi Q5,2011,1190000,2535900.0,175900,Diesel,Dealer,Automatic,1
33,Honda City,2018,930000,2145900.0,14500,Petrol,Dealer,Manual,1
34,Tata Tigor,2018,525000,1538400.0,15000,Petrol,Individual,Manual,1
35,Audi A6,2013,1735000,3353400.0,50000,Diesel,Dealer,Automatic,1
36,Mercedes-Benz New,2012,1375000,2813400.0,33800,Diesel,Dealer,Automatic,2
37,Skoda Superb,2011,450000,1425900.0,130400,Diesel,Dealer,Automatic,2
38,Toyota Corolla,2016,900000,2100900.0,50000,Petrol,Individual,Automatic,1
39,Toyota Innova,2015,1300000,2700900.0,80000,Diesel,Individual,Manual,1
40,Jeep Compass,2019,1400000,2850900.0,10000,Petrol,Individual,Manual,1
41,Mercedes-Benz E-Class,2010,850000,2025900.0,119000,Petrol,Dealer,Automatic,1
42,Hyundai i10,2014,229999,1095898.5,60000,Petrol,Individual,Manual,3
43,BMW 3,2013,1351000,3275999.0,75800,Diesel,Dealer,Automatic,2
44,Audi Q7,2009,1051000,2825999.0,78000,Diesel,Dealer,Automatic,3
45,Hyundai Elantra,2012,426000,1888499.0,40000,Diesel,Individual,Manual,1
